nnenum_sec nnenum_result
0.51 UNSAT
0.65 UNSAT
0.81 UNSAT
0.81 UNSAT
0.62 UNSAT
1.63 UNSAT
0.62 UNSAT
0.79 UNSAT
0.67 UNSAT
1.37 UNSAT
2.96 UNSAT
1.35 UNSAT
0.61 UNSAT
3.42 UNSAT
2.14 UNSAT
3.19 UNSAT
2.83 UNSAT
5.18 UNSAT
1.69 UNSAT
0.78 UNSAT
1.25 UNSAT
0.75 UNSAT
4.10 UNSAT
5.48 UNSAT
3.84 UNSAT
3.54 UNSAT
2.47 UNSAT
2.03 UNSAT
2.86 UNSAT
0.92 UNSAT
0.98 UNSAT
1.62 UNSAT
5.30 UNSAT
4.28 UNSAT
3.96 UNSAT
6.59 UNSAT
0.84 UNSAT
1.18 UNSAT
0.73 UNSAT
0.79 UNSAT
1.51 UNSAT
4.03 UNSAT
2.35 UNSAT
2.81 UNSAT
4.48 UNSAT
0.77 UNSAT
0.35 SAT
0.91 SAT
0.35 SAT
0.37 SAT
0.76 SAT
0.91 UNSAT
1.42 UNSAT
0.85 UNSAT
0.17 SAT
0.16 SAT
0.16 SAT
0.17 SAT
0.17 SAT
0.17 SAT
0.16 SAT
0.16 SAT
1.44 SAT
0.16 SAT
0.23 SAT
7.46 UNSAT
0.16 SAT
0.16 SAT
0.16 SAT
0.43 SAT
0.23 SAT
0.16 SAT
0.17 SAT
7.59 UNSAT
0.16 SAT
0.29 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.17 SAT
0.16 SAT
0.17 SAT
0.85 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.16 SAT
0.80 UNSAT
0.68 UNSAT
0.57 UNSAT
0.24 UNSAT
0.25 UNSAT
0.16 UNSAT
0.16 SAT
0.16 SAT
0.16 SAT
0.50 UNSAT
0.42 UNSAT
0.44 UNSAT
0.01 UNSAT
0.19 UNSAT
0.16 UNSAT
0.17 UNSAT
0.15 UNSAT
0.01 UNSAT
0.25 UNSAT
0.52 UNSAT
0.39 UNSAT
0.25 UNSAT
0.18 UNSAT
0.22 UNSAT
0.16 UNSAT
0.18 UNSAT
0.17 UNSAT
0.26 UNSAT
0.47 UNSAT
0.56 UNSAT
0.18 UNSAT
0.16 UNSAT
0.22 UNSAT
0.16 UNSAT
0.17 UNSAT
0.20 UNSAT
0.43 UNSAT
0.21 UNSAT
0.25 UNSAT
0.17 UNSAT
0.18 UNSAT
0.23 UNSAT
0.01 UNSAT
0.24 UNSAT
0.01 UNSAT
0.45 UNSAT
0.46 UNSAT
0.42 UNSAT
0.18 UNSAT
0.31 UNSAT
0.23 UNSAT
0.16 SAT
0.16 SAT
0.16 SAT
0.22 UNSAT
0.21 UNSAT
0.18 UNSAT
0.16 UNSAT
0.22 UNSAT
0.20 UNSAT
0.17 UNSAT
0.24 UNSAT
0.01 UNSAT
0.22 UNSAT
0.24 UNSAT
0.15 UNSAT
0.15 UNSAT
0.22 UNSAT
0.17 UNSAT
0.22 UNSAT
0.24 UNSAT
0.21 UNSAT
0.15 UNSAT
0.18 UNSAT
0.25 UNSAT
0.20 UNSAT
0.16 UNSAT
0.16 UNSAT
0.15 UNSAT
0.17 UNSAT
0.16 UNSAT
0.18 UNSAT
0.28 UNSAT
0.17 UNSAT
0.17 UNSAT
0.18 UNSAT
0.17 UNSAT
0.16 UNSAT
0.19 UNSAT
0.16 UNSAT
1.02 UNSAT
5.38 UNSAT
1.50 SAT
0.22 SAT
2.52 UNSAT
0.70 UNSAT
