blankheader1 blankheader2 blankheader3
MNIST 0.1 1
MNIST 0.1 2
MNIST 0.1 3
MNIST 0.1 4
MNIST 0.1 5
MNIST 0.1 6
MNIST 0.1 7
MNIST 0.1 8
MNIST 0.1 9
MNIST 0.1 10
MNIST 0.1 11
MNIST 0.1 12
MNIST 0.1 13
MNIST 0.1 14
MNIST 0.1 15
MNIST 0.1 16
MNIST 0.1 17
MNIST 0.1 18
MNIST 0.1 19
MNIST 0.1 20
MNIST 0.1 21
MNIST 0.1 22
MNIST 0.1 23
MNIST 0.1 24
MNIST 0.1 25
MNIST 0.1 26
MNIST 0.1 27
MNIST 0.1 28
MNIST 0.1 29
MNIST 0.1 30
MNIST 0.1 31
MNIST 0.1 32
MNIST 0.1 33
MNIST 0.1 34
MNIST 0.1 35
MNIST 0.1 36
MNIST 0.1 37
MNIST 0.1 38
MNIST 0.1 39
MNIST 0.1 40
MNIST 0.1 41
MNIST 0.1 42
MNIST 0.1 43
MNIST 0.1 44
MNIST 0.1 45
MNIST 0.1 46
MNIST 0.1 47
MNIST 0.1 48
MNIST 0.1 49
MNIST 0.1 50
MNIST 0.1 51
MNIST 0.1 52
MNIST 0.1 53
MNIST 0.1 54
MNIST 0.1 55
MNIST 0.1 56
MNIST 0.1 57
MNIST 0.1 58
MNIST 0.1 59
MNIST 0.1 60
MNIST 0.1 61
MNIST 0.1 62
MNIST 0.1 63
MNIST 0.1 64
MNIST 0.1 65
MNIST 0.1 66
MNIST 0.1 67
MNIST 0.1 68
MNIST 0.1 69
MNIST 0.1 70
MNIST 0.1 71
MNIST 0.1 72
MNIST 0.1 73
MNIST 0.1 74
MNIST 0.1 75
MNIST 0.1 76
MNIST 0.1 77
MNIST 0.1 78
MNIST 0.1 79
MNIST 0.1 80
MNIST 0.1 81
MNIST 0.1 82
MNIST 0.1 83
MNIST 0.1 84
MNIST 0.1 85
MNIST 0.1 86
MNIST 0.1 87
MNIST 0.1 88
MNIST 0.1 89
MNIST 0.1 90
MNIST 0.1 91
MNIST 0.1 92
MNIST 0.1 93
MNIST 0.1 94
MNIST 0.1 95
MNIST 0.1 96
MNIST 0.1 97
MNIST 0.1 98
MNIST 0.1 99
MNIST 0.1 100
MNIST 0.3 1
MNIST 0.3 2
MNIST 0.3 3
MNIST 0.3 4
MNIST 0.3 5
MNIST 0.3 6
MNIST 0.3 7
MNIST 0.3 8
MNIST 0.3 9
MNIST 0.3 10
MNIST 0.3 11
MNIST 0.3 12
MNIST 0.3 13
MNIST 0.3 14
MNIST 0.3 15
MNIST 0.3 16
MNIST 0.3 17
MNIST 0.3 18
MNIST 0.3 19
MNIST 0.3 20
MNIST 0.3 21
MNIST 0.3 22
MNIST 0.3 23
MNIST 0.3 24
MNIST 0.3 25
MNIST 0.3 26
MNIST 0.3 27
MNIST 0.3 28
MNIST 0.3 29
MNIST 0.3 30
MNIST 0.3 31
MNIST 0.3 32
MNIST 0.3 33
MNIST 0.3 34
MNIST 0.3 35
MNIST 0.3 36
MNIST 0.3 37
MNIST 0.3 38
MNIST 0.3 39
MNIST 0.3 40
MNIST 0.3 41
MNIST 0.3 42
MNIST 0.3 43
MNIST 0.3 44
MNIST 0.3 45
MNIST 0.3 46
MNIST 0.3 47
MNIST 0.3 48
MNIST 0.3 49
MNIST 0.3 50
MNIST 0.3 51
MNIST 0.3 52
MNIST 0.3 53
MNIST 0.3 54
MNIST 0.3 55
MNIST 0.3 56
MNIST 0.3 57
MNIST 0.3 58
MNIST 0.3 59
MNIST 0.3 60
MNIST 0.3 61
MNIST 0.3 62
MNIST 0.3 63
MNIST 0.3 64
MNIST 0.3 65
MNIST 0.3 67
MNIST 0.3 68
MNIST 0.3 69
MNIST 0.3 70
MNIST 0.3 71
MNIST 0.3 72
MNIST 0.3 73
MNIST 0.3 74
MNIST 0.3 75
MNIST 0.3 76
MNIST 0.3 77
MNIST 0.3 78
MNIST 0.3 79
MNIST 0.3 80
MNIST 0.3 81
MNIST 0.3 82
MNIST 0.3 83
MNIST 0.3 84
MNIST 0.3 85
MNIST 0.3 86
MNIST 0.3 87
MNIST 0.3 88
MNIST 0.3 89
MNIST 0.3 90
MNIST 0.3 91
MNIST 0.3 92
MNIST 0.3 93
MNIST 0.3 94
MNIST 0.3 95
MNIST 0.3 96
MNIST 0.3 97
MNIST 0.3 98
MNIST 0.3 99
MNIST 0.3 100
CIFAR10 2/255 1
CIFAR10 2/255 2
CIFAR10 2/255 3
CIFAR10 2/255 4
CIFAR10 2/255 5
CIFAR10 2/255 6
CIFAR10 2/255 7
CIFAR10 2/255 9
CIFAR10 2/255 10
CIFAR10 2/255 11
CIFAR10 2/255 12
CIFAR10 2/255 13
CIFAR10 2/255 14
CIFAR10 2/255 15
CIFAR10 2/255 16
CIFAR10 2/255 17
CIFAR10 2/255 18
CIFAR10 2/255 19
CIFAR10 2/255 20
CIFAR10 2/255 21
CIFAR10 2/255 22
CIFAR10 2/255 24
CIFAR10 2/255 26
CIFAR10 2/255 27
CIFAR10 2/255 28
CIFAR10 2/255 29
CIFAR10 2/255 30
CIFAR10 2/255 31
CIFAR10 2/255 32
CIFAR10 2/255 33
CIFAR10 2/255 34
CIFAR10 2/255 35
CIFAR10 2/255 37
CIFAR10 2/255 38
CIFAR10 2/255 39
CIFAR10 2/255 40
CIFAR10 2/255 41
CIFAR10 2/255 42
CIFAR10 2/255 43
CIFAR10 2/255 44
CIFAR10 2/255 45
CIFAR10 2/255 46
