nnenum_sec nnenum_result
0.44 UNSAT
0.45 UNSAT
0.44 UNSAT
0.45 UNSAT
0.48 UNSAT
0.45 UNSAT
- UNKNOWN
0.46 UNSAT
- UNKNOWN
0.46 UNSAT
0.47 UNSAT
0.49 UNSAT
0.48 UNSAT
0.48 UNSAT
0.45 UNSAT
0.50 UNSAT
0.48 UNSAT
0.46 UNSAT
- UNKNOWN
0.47 UNSAT
0.46 UNSAT
0.49 UNSAT
0.49 UNSAT
0.47 UNSAT
0.46 UNSAT
0.49 UNSAT
0.46 UNSAT
0.47 UNSAT
0.47 UNSAT
0.44 UNSAT
0.47 UNSAT
0.44 UNSAT
0.49 UNSAT
0.49 UNSAT
0.48 UNSAT
0.48 UNSAT
0.47 UNSAT
0.44 UNSAT
0.48 UNSAT
0.46 UNSAT
0.46 UNSAT
0.47 UNSAT
0.47 UNSAT
0.47 UNSAT
0.48 UNSAT
0.49 UNSAT
0.46 UNSAT
0.49 UNSAT
0.46 UNSAT
0.49 UNSAT
0.49 UNSAT
0.49 UNSAT
0.48 UNSAT
0.49 UNSAT
0.49 UNSAT
0.47 UNSAT
0.49 UNSAT
0.44 UNSAT
0.48 UNSAT
9.83 UNSAT
0.45 UNSAT
0.48 UNSAT
- UNKNOWN
0.47 UNSAT
0.47 UNSAT
9.69 UNSAT
0.49 UNSAT
0.49 UNSAT
0.48 UNSAT
0.49 UNSAT
0.46 UNSAT
0.46 UNSAT
0.49 UNSAT
0.46 UNSAT
0.45 UNSAT
0.48 UNSAT
0.46 UNSAT
0.48 UNSAT
0.46 UNSAT
0.47 UNSAT
0.46 UNSAT
0.48 UNSAT
0.48 UNSAT
0.47 UNSAT
0.50 UNSAT
0.47 UNSAT
0.47 UNSAT
0.48 UNSAT
0.48 UNSAT
0.47 UNSAT
0.46 UNSAT
0.48 UNSAT
- UNKNOWN
10.24 UNSAT
0.45 UNSAT
10.55 UNSAT
0.46 UNSAT
0.47 UNSAT
0.48 UNSAT
0.48 UNSAT
14.72 UNSAT
15.53 UNSAT
13.80 UNSAT
15.47 UNSAT
15.57 UNSAT
13.66 UNSAT
- UNKNOWN
- UNKNOWN
2.08 SAT
- UNKNOWN
15.53 UNSAT
- UNKNOWN
- UNKNOWN
16.29 UNSAT
3.94 UNSAT
0.65 SAT
- UNKNOWN
14.54 UNSAT
0.54 SAT
- UNKNOWN
15.53 UNSAT
14.58 UNSAT
- UNKNOWN
16.13 UNSAT
- UNKNOWN
15.63 UNSAT
14.67 UNSAT
- UNKNOWN
16.01 UNSAT
13.92 UNSAT
- UNKNOWN
14.49 UNSAT
14.74 UNSAT
0.50 SAT
14.88 UNSAT
21.41 UNSAT
- UNKNOWN
3.48 UNSAT
- UNKNOWN
3.63 UNSAT
6.11 UNSAT
- UNKNOWN
15.79 UNSAT
0.68 SAT
- UNKNOWN
- UNKNOWN
14.31 UNSAT
- UNKNOWN
14.35 UNSAT
14.86 UNSAT
16.61 UNSAT
16.07 UNSAT
296.55 UNSAT
- UNKNOWN
15.89 UNSAT
15.43 UNSAT
15.77 UNSAT
14.27 UNSAT
- UNKNOWN
- UNKNOWN
3.75 UNSAT
- UNKNOWN
0.67 SAT
0.65 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
3.78 UNSAT
16.39 UNSAT
- UNKNOWN
0.49 SAT
14.66 UNSAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
14.72 UNSAT
- UNKNOWN
15.81 UNSAT
16.08 UNSAT
15.20 UNSAT
- UNKNOWN
15.75 UNSAT
14.78 UNSAT
- UNKNOWN
15.77 UNSAT
14.99 UNSAT
16.51 UNSAT
15.75 UNSAT
0.61 SAT
- UNKNOWN
14.13 UNSAT
- UNKNOWN
14.98 UNSAT
- UNKNOWN
- UNKNOWN
15.28 UNSAT
2.89 SAT
24.19 UNSAT
- UNKNOWN
207.14 UNSAT
- UNKNOWN
- UNKNOWN
233.14 UNSAT
- UNKNOWN
- UNKNOWN
196.77 UNSAT
24.54 UNSAT
2.85 SAT
23.62 UNSAT
24.46 UNSAT
23.06 UNSAT
- UNKNOWN
23.84 UNSAT
23.38 UNSAT
27.29 UNSAT
233.86 UNSAT
22.40 UNSAT
24.21 UNSAT
- UNKNOWN
2.85 SAT
- UNKNOWN
2.87 SAT
26.10 UNSAT
- UNKNOWN
2.89 SAT
2.87 SAT
- UNKNOWN
24.24 UNSAT
2.90 SAT
2.89 SAT
23.92 UNSAT
- UNKNOWN
24.42 UNSAT
24.33 UNSAT
- UNKNOWN
26.89 UNSAT
24.36 UNSAT
23.45 UNSAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
23.82 UNSAT
22.35 UNSAT
23.78 UNSAT
24.63 UNSAT
- UNKNOWN
2.81 SAT
- UNKNOWN
22.23 UNSAT
- UNKNOWN
- UNKNOWN
23.56 UNSAT
23.49 UNSAT
2.93 SAT
23.62 UNSAT
2.86 SAT
- UNKNOWN
263.65 UNSAT
23.20 UNSAT
23.26 UNSAT
21.28 UNSAT
24.87 UNSAT
22.72 UNSAT
22.09 UNSAT
2.92 SAT
23.55 UNSAT
23.54 UNSAT
24.11 UNSAT
23.47 UNSAT
- UNKNOWN
- UNKNOWN
2.87 SAT
25.00 UNSAT
140.53 UNSAT
24.15 UNSAT
23.58 UNSAT
78.24 UNSAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
0.99 SAT
- UNKNOWN
- UNKNOWN
67.14 UNSAT
- UNKNOWN
- UNKNOWN
9.03 UNSAT
9.19 UNSAT
1.02 SAT
8.97 UNSAT
1.03 SAT
- UNKNOWN
84.17 UNSAT
1.07 SAT
- UNKNOWN
1.02 SAT
95.32 UNSAT
106.72 SAT
1.00 SAT
9.12 UNSAT
1.04 SAT
- UNKNOWN
92.53 UNSAT
10.27 UNSAT
- UNKNOWN
78.35 UNSAT
148.05 UNSAT
1.02 SAT
- UNKNOWN
- UNKNOWN
0.99 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
1.04 SAT
- UNKNOWN
1.01 SAT
- UNKNOWN
9.72 UNSAT
9.15 UNSAT
1.00 SAT
- UNKNOWN
1.02 SAT
- UNKNOWN
111.75 SAT
1.00 SAT
9.11 UNSAT
1.00 SAT
- UNKNOWN
- UNKNOWN
8.91 UNSAT
1.02 SAT
