blankheader1 blankheader2 blankheader3
MNIST2 0.02 1
MNIST2 0.02 2
MNIST2 0.02 3
MNIST2 0.02 4
MNIST2 0.02 5
MNIST2 0.02 6
MNIST2 0.02 7
MNIST2 0.02 8
MNIST2 0.02 9
MNIST2 0.02 10
MNIST2 0.02 11
MNIST2 0.02 12
MNIST2 0.02 13
MNIST2 0.02 14
MNIST2 0.02 15
MNIST2 0.02 16
MNIST2 0.02 17
MNIST2 0.02 18
MNIST2 0.02 19
MNIST2 0.02 20
MNIST2 0.02 21
MNIST2 0.02 22
MNIST2 0.02 23
MNIST2 0.02 24
MNIST2 0.02 25
MNIST2 0.05 1
MNIST2 0.05 2
MNIST2 0.05 3
MNIST2 0.05 4
MNIST2 0.05 5
MNIST2 0.05 6
MNIST2 0.05 7
MNIST2 0.05 8
MNIST2 0.05 9
MNIST2 0.05 10
MNIST2 0.05 11
MNIST2 0.05 12
MNIST2 0.05 13
MNIST2 0.05 14
MNIST2 0.05 15
MNIST2 0.05 16
MNIST2 0.05 17
MNIST2 0.05 18
MNIST2 0.05 19
MNIST2 0.05 20
MNIST2 0.05 21
MNIST2 0.05 22
MNIST2 0.05 23
MNIST2 0.05 24
MNIST2 0.05 25
MNIST4 0.02 1
MNIST4 0.02 2
MNIST4 0.02 3
MNIST4 0.02 4
MNIST4 0.02 5
MNIST4 0.02 6
MNIST4 0.02 7
MNIST4 0.02 8
MNIST4 0.02 9
MNIST4 0.02 10
MNIST4 0.02 11
MNIST4 0.02 12
MNIST4 0.02 13
MNIST4 0.02 14
MNIST4 0.02 15
MNIST4 0.02 16
MNIST4 0.02 17
MNIST4 0.02 18
MNIST4 0.02 19
MNIST4 0.02 20
MNIST4 0.02 21
MNIST4 0.02 22
MNIST4 0.02 23
MNIST4 0.02 24
MNIST4 0.02 25
MNIST4 0.05 1
MNIST4 0.05 2
MNIST4 0.05 3
MNIST4 0.05 4
MNIST4 0.05 5
MNIST4 0.05 6
MNIST4 0.05 7
MNIST4 0.05 8
MNIST4 0.05 9
MNIST4 0.05 10
MNIST4 0.05 11
MNIST4 0.05 12
MNIST4 0.05 13
MNIST4 0.05 14
MNIST4 0.05 15
MNIST4 0.05 16
MNIST4 0.05 17
MNIST4 0.05 18
MNIST4 0.05 19
MNIST4 0.05 20
MNIST4 0.05 21
MNIST4 0.05 22
MNIST4 0.05 23
MNIST4 0.05 24
MNIST4 0.05 25
MNIST6 0.02 1
MNIST6 0.02 2
MNIST6 0.02 3
MNIST6 0.02 4
MNIST6 0.02 5
MNIST6 0.02 6
MNIST6 0.02 7
MNIST6 0.02 8
MNIST6 0.02 9
MNIST6 0.02 10
MNIST6 0.02 11
MNIST6 0.02 12
MNIST6 0.02 13
MNIST6 0.02 14
MNIST6 0.02 15
MNIST6 0.02 16
MNIST6 0.02 17
MNIST6 0.02 18
MNIST6 0.02 19
MNIST6 0.02 20
MNIST6 0.02 21
MNIST6 0.02 22
MNIST6 0.02 23
MNIST6 0.02 24
MNIST6 0.02 25
MNIST6 0.05 1
MNIST6 0.05 2
MNIST6 0.05 3
MNIST6 0.05 4
MNIST6 0.05 5
MNIST6 0.05 6
MNIST6 0.05 7
MNIST6 0.05 8
MNIST6 0.05 9
MNIST6 0.05 10
MNIST6 0.05 11
MNIST6 0.05 12
MNIST6 0.05 13
MNIST6 0.05 14
MNIST6 0.05 15
MNIST6 0.05 16
MNIST6 0.05 17
MNIST6 0.05 18
MNIST6 0.05 19
MNIST6 0.05 20
MNIST6 0.05 21
MNIST6 0.05 22
MNIST6 0.05 23
MNIST6 0.05 24
MNIST6 0.05 25
