nnenum_sec nnenum_result
0.19 SAT
0.02 UNSAT
2.71 SAT
0.02 UNSAT
3.78 SAT
2.92 UNSAT
10.72 UNSAT
3.06 UNSAT
0.21 SAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
0.02 UNSAT
1.74 UNSAT
0.18 SAT
1.47 UNSAT
0.02 UNSAT
7.37 UNSAT
0.02 UNSAT
0.02 UNSAT
0.20 SAT
0.19 SAT
0.18 SAT
0.17 SAT
0.18 SAT
0.17 SAT
0.18 SAT
0.18 SAT
0.18 SAT
0.18 SAT
1.71 SAT
7.96 UNSAT
0.21 SAT
1.75 SAT
0.29 SAT
3.28 SAT
490.25 UNSAT
0.22 SAT
0.18 SAT
0.18 SAT
1.75 SAT
1.89 SAT
0.19 SAT
31.96 UNSAT
0.22 SAT
0.18 SAT
0.02 UNSAT
0.02 UNSAT
215.64 UNSAT
0.02 UNSAT
0.02 UNSAT
6.28 UNSAT
0.02 UNSAT
- UNKNOWN
4.21 UNSAT
0.03 UNSAT
0.02 UNSAT
0.02 UNSAT
0.03 UNSAT
0.02 UNSAT
0.03 UNSAT
0.02 UNSAT
5.39 UNSAT
0.02 UNSAT
0.26 SAT
0.03 UNSAT
42.75 UNSAT
0.03 UNSAT
0.03 UNSAT
0.02 UNSAT
6.37 UNSAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
743.72 UNSAT
- UNKNOWN
- UNKNOWN
0.27 SAT
0.39 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
0.26 SAT
0.49 SAT
0.24 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
11.93 SAT
0.03 UNSAT
0.03 UNSAT
- UNKNOWN
0.03 UNSAT
0.03 UNSAT
13.63 UNSAT
225.18 UNSAT
8.63 UNSAT
0.32 SAT
0.03 UNSAT
0.03 UNSAT
0.04 UNSAT
85.50 UNSAT
0.03 UNSAT
0.04 UNSAT
0.03 UNSAT
- UNKNOWN
0.03 UNSAT
- UNKNOWN
0.03 UNSAT
9.38 UNSAT
0.03 UNSAT
0.03 UNSAT
0.03 UNSAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
0.32 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
0.32 SAT
- UNKNOWN
0.31 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
16.40 SAT
- UNKNOWN
0.87 SAT
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
- UNKNOWN
0.32 SAT
